"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 22 06:16:15 GMT 2025","Wed Oct 22 06:16:17 GMT 2025","1512","","tests.api.iteration2.positive.TransferTest","","tests.api.iteration2.positive.TransferTest","authUserCanTransferMoneyToAnotherUserAccount","Авторизованный пользователь может переводить деньги на счёт другого пользователя [3] 10000.00",""
"passed","Wed Oct 22 06:16:23 GMT 2025","Wed Oct 22 06:16:23 GMT 2025","103","","tests.api.iteration1.CreateUserTest","","tests.api.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidData","adminCanNotCreateUserWithInvalidData(String, String, UserRole, String, String[]) [4] abc$, Password33$, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]",""
"passed","Wed Oct 22 06:16:14 GMT 2025","Wed Oct 22 06:16:15 GMT 2025","1260","","tests.api.iteration2.positive.TransferTest","","tests.api.iteration2.positive.TransferTest","authUserCanTransferMoneyToAnotherUserAccount","Авторизованный пользователь может переводить деньги на счёт другого пользователя [2] 1.00",""
"failed","Wed Oct 22 06:16:33 GMT 2025","Wed Oct 22 06:16:36 GMT 2025","2271","","tests.ui.iteration2.negative.DepositNegativeUiTest","","tests.ui.iteration2.negative.DepositNegativeUiTest","errorWhenDepositZeroAmount","errorWhenDepositZeroAmount()",""
"passed","Wed Oct 22 06:16:40 GMT 2025","Wed Oct 22 06:16:44 GMT 2025","3794","","tests.ui.iteration2.positive.TransferUiTest","","tests.ui.iteration2.positive.TransferUiTest","transferValidAmount","transferValidAmount()",""
"passed","Wed Oct 22 06:16:07 GMT 2025","Wed Oct 22 06:16:08 GMT 2025","1025","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","authUserCanNotUpdateOwnNameWithInvalidData","authUserCanNotUpdateOwnNameWithInvalidData(String, String, String) [1]    , name, Username cannot be blank",""
"passed","Wed Oct 22 06:16:05 GMT 2025","Wed Oct 22 06:16:06 GMT 2025","936","","tests.api.iteration2.negative.TransferNegativeTest","","tests.api.iteration2.negative.TransferNegativeTest","authUserCanNotTransferMoneyToOwnAccountMoreThatAccountHas","authUserCanNotTransferMoneyToOwnAccountMoreThatAccountHas()",""
"passed","Wed Oct 22 06:16:09 GMT 2025","Wed Oct 22 06:16:09 GMT 2025","558","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","authUserCanNotUpdateOwnNameWithInvalidData","authUserCanNotUpdateOwnNameWithInvalidData(String, String, String) [3] thisusernameiswaytoolong, name, Username must be between 3 and 15 characters",""
"passed","Wed Oct 22 06:16:09 GMT 2025","Wed Oct 22 06:16:10 GMT 2025","591","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","authUserCanNotUpdateOwnNameWithInvalidData","authUserCanNotUpdateOwnNameWithInvalidData(String, String, String) [4] user!@#, name, Invalid characters in username",""
"passed","Wed Oct 22 06:16:10 GMT 2025","Wed Oct 22 06:16:11 GMT 2025","650","","tests.api.iteration2.negative.DepositNegativeTest","","tests.api.iteration2.negative.DepositNegativeTest","userCannotDepositToNotExistingUserAccountId","userCannotDepositToNotExistingUserAccountId()",""
