"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 22 07:09:25 GMT 2025","Wed Oct 22 07:09:26 GMT 2025","828","","tests.api.iteration2.negative.TransferNegativeTest","","tests.api.iteration2.negative.TransferNegativeTest","authUserCanNotTransferMoneyToNotExistingAccount","authUserCanNotTransferMoneyToNotExistingAccount()",""
"passed","Wed Oct 22 07:09:57 GMT 2025","Wed Oct 22 07:09:59 GMT 2025","2022","","tests.ui.iteration2.negative.DepositNegativeUiTest","","tests.ui.iteration2.negative.DepositNegativeUiTest","errorWhenAccountNotSelected","errorWhenAccountNotSelected()",""
"passed","Wed Oct 22 07:09:35 GMT 2025","Wed Oct 22 07:09:37 GMT 2025","1273","","tests.api.iteration2.positive.TransferTest","","tests.api.iteration2.positive.TransferTest","authUserCanTransferMoneyToAnotherUserAccount","Авторизованный пользователь может переводить деньги на счёт другого пользователя [2] 1.00",""
"passed","Wed Oct 22 07:09:38 GMT 2025","Wed Oct 22 07:09:39 GMT 2025","830","","tests.api.iteration2.positive.TransferTest","","tests.api.iteration2.positive.TransferTest","authUserCanTransferMoneyToAnotherOwnAccount","Авторизованный пользователь может переводить деньги между своими счетами [1] 100.00",""
"passed","Wed Oct 22 07:09:42 GMT 2025","Wed Oct 22 07:09:43 GMT 2025","608","","tests.api.iteration2.positive.DepositTest","","tests.api.iteration2.positive.DepositTest","authUserCanDepositMoneyWithValidAmount","authUserCanDepositMoneyWithValidAmount()",""
"passed","Wed Oct 22 07:10:09 GMT 2025","Wed Oct 22 07:10:13 GMT 2025","4156","","tests.ui.iteration2.positive.TransferUiTest","","tests.ui.iteration2.positive.TransferUiTest","transferBetweenDifferentAccounts","transferBetweenDifferentAccounts()",""
"passed","Wed Oct 22 07:09:18 GMT 2025","Wed Oct 22 07:09:25 GMT 2025","7723","","tests.api.iteration2.negative.TransferNegativeTest","","tests.api.iteration2.negative.TransferNegativeTest","authUserCanNotTransferMoneyToOwnAccountNegativeAmount","authUserCanNotTransferMoneyToOwnAccountNegativeAmount()",""
"passed","Wed Oct 22 07:09:55 GMT 2025","Wed Oct 22 07:09:57 GMT 2025","2252","","tests.ui.iteration2.negative.DepositNegativeUiTest","","tests.ui.iteration2.negative.DepositNegativeUiTest","errorWhenDepositZeroAmount","errorWhenDepositZeroAmount()",""
"passed","Wed Oct 22 07:09:44 GMT 2025","Wed Oct 22 07:09:44 GMT 2025","97","","tests.api.iteration1.CreateUserTest","","tests.api.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidData","adminCanNotCreateUserWithInvalidData(String, String, UserRole, String, String[]) [4] abc$, Password33$, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]",""
"passed","Wed Oct 22 07:09:42 GMT 2025","Wed Oct 22 07:09:42 GMT 2025","436","","tests.api.iteration2.positive.ChangeNameUserTest","","tests.api.iteration2.positive.ChangeNameUserTest","authUserCanUpdateOwnName","authUserCanUpdateOwnName(String) [3] I P",""
"passed","Wed Oct 22 07:09:41 GMT 2025","Wed Oct 22 07:09:41 GMT 2025","482","","tests.api.iteration2.positive.ChangeNameUserTest","","tests.api.iteration2.positive.ChangeNameUserTest","authUserCanUpdateOwnName","authUserCanUpdateOwnName(String) [1] Ivan Pavlov",""
"passed","Wed Oct 22 07:09:32 GMT 2025","Wed Oct 22 07:09:33 GMT 2025","995","","tests.api.iteration2.negative.DepositNegativeTest","","tests.api.iteration2.negative.DepositNegativeTest","userCannotDepositToAnotherUserAccount","userCannotDepositToAnotherUserAccount()",""
"passed","Wed Oct 22 07:09:30 GMT 2025","Wed Oct 22 07:09:31 GMT 2025","558","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","authUserCanNotUpdateOwnNameWithInvalidData","authUserCanNotUpdateOwnNameWithInvalidData(String, String, String) [3] thisusernameiswaytoolong, name, Username must be between 3 and 15 characters",""
"passed","Wed Oct 22 07:10:17 GMT 2025","Wed Oct 22 07:10:20 GMT 2025","3080","","tests.ui.iteration1.CreateUserUiTest","","tests.ui.iteration1.CreateUserUiTest","adminCanCreateUserTest","adminCanCreateUserTest()",""
"skipped","Wed Oct 22 07:10:17 GMT 2025","Wed Oct 22 07:10:17 GMT 2025","0","","tests.ui.iteration1.CreateAccountUiTest","","tests.ui.iteration1.CreateAccountUiTest","userCanCreateAccountTest","userCanCreateAccountTest()",""
"passed","Wed Oct 22 07:09:43 GMT 2025","Wed Oct 22 07:09:43 GMT 2025","91","","tests.api.iteration1.LoginUserTest","","tests.api.iteration1.LoginUserTest","adminCanGenerateAuthToken","adminCanGenerateAuthToken()",""
"passed","Wed Oct 22 07:09:43 GMT 2025","Wed Oct 22 07:09:43 GMT 2025","260","","tests.api.iteration1.LoginUserTest","","tests.api.iteration1.LoginUserTest","userCanGenerateAuthTokenTest","userCanGenerateAuthTokenTest()",""
