"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 22 06:50:27 GMT 2025","Wed Oct 22 06:50:31 GMT 2025","3823","","tests.ui.iteration2.positive.TransferUiTest","","tests.ui.iteration2.positive.TransferUiTest","transferValidAmount","transferValidAmount()",""
"passed","Wed Oct 22 06:49:52 GMT 2025","Wed Oct 22 06:49:53 GMT 2025","906","","tests.api.iteration2.negative.TransferNegativeTest","","tests.api.iteration2.negative.TransferNegativeTest","authUserCanNotTransferMoneyToOwnAccountMoreThatAccountHas","authUserCanNotTransferMoneyToOwnAccountMoreThatAccountHas()",""
"passed","Wed Oct 22 06:49:59 GMT 2025","Wed Oct 22 06:50:00 GMT 2025","655","","tests.api.iteration2.negative.DepositNegativeTest","","tests.api.iteration2.negative.DepositNegativeTest","userCannotMakeZeroDeposit","userCannotMakeZeroDeposit()",""
"passed","Wed Oct 22 06:50:10 GMT 2025","Wed Oct 22 06:50:13 GMT 2025","3124","","tests.ui.iteration2.negative.DepositNegativeUiTest","","tests.ui.iteration2.negative.DepositNegativeUiTest","errorWhenDepositNegativeAmount","errorWhenDepositNegativeAmount()",""
"passed","Wed Oct 22 06:49:57 GMT 2025","Wed Oct 22 06:49:57 GMT 2025","550","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","authUserCanNotUpdateOwnNameWithInvalidData","authUserCanNotUpdateOwnNameWithInvalidData(String, String, String) [4] user!@#, name, Invalid characters in username",""
"passed","Wed Oct 22 06:49:56 GMT 2025","Wed Oct 22 06:49:56 GMT 2025","579","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","","tests.api.iteration2.negative.ChangeNameUserNegativeTest","authUserCanNotUpdateOwnNameWithInvalidData","authUserCanNotUpdateOwnNameWithInvalidData(String, String, String) [2] ab, name, Username must be between 3 and 15 characters",""
"passed","Wed Oct 22 06:50:43 GMT 2025","Wed Oct 22 06:50:46 GMT 2025","3016","","tests.ui.iteration1.CreateUserUiTest","","tests.ui.iteration1.CreateUserUiTest","adminCanCreateUserTest","adminCanCreateUserTest()",""
"passed","Wed Oct 22 06:50:00 GMT 2025","Wed Oct 22 06:50:02 GMT 2025","1288","","tests.api.iteration2.positive.TransferTest","","tests.api.iteration2.positive.TransferTest","authUserCanTransferMoneyToAnotherUserAccount","Авторизованный пользователь может переводить деньги на счёт другого пользователя [1] 100.00",""
"passed","Wed Oct 22 06:49:52 GMT 2025","Wed Oct 22 06:49:52 GMT 2025","826","","tests.api.iteration2.negative.TransferNegativeTest","","tests.api.iteration2.negative.TransferNegativeTest","authUserCanNotTransferMoneyToNotExistingAccount","authUserCanNotTransferMoneyToNotExistingAccount()",""
"passed","Wed Oct 22 06:50:00 GMT 2025","Wed Oct 22 06:50:00 GMT 2025","624","","tests.api.iteration2.negative.DepositNegativeTest","","tests.api.iteration2.negative.DepositNegativeTest","userCannotMakeNegativeDeposit","userCannotMakeNegativeDeposit()",""
"passed","Wed Oct 22 06:50:10 GMT 2025","Wed Oct 22 06:50:10 GMT 2025","101","","tests.api.iteration1.CreateUserTest","","tests.api.iteration1.CreateUserTest","adminCanNotCreateUserWithInvalidData","adminCanNotCreateUserWithInvalidData(String, String, UserRole, String, String[]) [4] abc$, Password33$, USER, username, [Username must contain only letters, digits, dashes, underscores, and dots]",""
"passed","Wed Oct 22 06:50:46 GMT 2025","Wed Oct 22 06:50:48 GMT 2025","2751","","tests.ui.iteration1.CreateUserUiTest","","tests.ui.iteration1.CreateUserUiTest","adminCannotCreateUserWithInvalidDataTest","adminCannotCreateUserWithInvalidDataTest()",""
"passed","Wed Oct 22 06:50:08 GMT 2025","Wed Oct 22 06:50:08 GMT 2025","436","","tests.api.iteration2.positive.ChangeNameUserTest","","tests.api.iteration2.positive.ChangeNameUserTest","authUserCanUpdateOwnName","authUserCanUpdateOwnName(String) [2] John Doe",""
"passed","Wed Oct 22 06:50:07 GMT 2025","Wed Oct 22 06:50:08 GMT 2025","486","","tests.api.iteration2.positive.ChangeNameUserTest","","tests.api.iteration2.positive.ChangeNameUserTest","authUserCanUpdateOwnName","authUserCanUpdateOwnName(String) [1] Ivan Pavlov",""
"passed","Wed Oct 22 06:50:50 GMT 2025","Wed Oct 22 06:50:51 GMT 2025","1286","","tests.ui.iteration1.LoginUserUiTest","","tests.ui.iteration1.LoginUserUiTest","adminCanLoginWithCorrectDataTest","adminCanLoginWithCorrectDataTest()",""
"passed","Wed Oct 22 06:50:19 GMT 2025","Wed Oct 22 06:50:21 GMT 2025","2161","","tests.ui.iteration2.negative.DepositNegativeUiTest","","tests.ui.iteration2.negative.DepositNegativeUiTest","errorWhenAmountFieldIsEmpty","errorWhenAmountFieldIsEmpty()",""
